"","Name","Reviewer","Date","Rating","Content","Review"
"1","the meg 2","allmoviesfan",2023-07-08,7," the meg
","granted, the meg is dumb. jason statham takes on a giant shark from below what scientists thought was the bottom of the marianas trench. you know how it's going to end because jason statham doesn't ever lose. even when faced with one or more enormous sharksgreat special effects cover for some sketchy acting - not that anyone watches these sorts of movies for acting - and some of the expected action movie tropes (like my personal favourite: someone getting killed gloating about their victory after they think the threat is over) in what is a fun film if you like giant creature movies and jason statham. one of those movies to not over-think.definitely not a masterpiece, but definitely enjoyable."
"2","the meg 2","top_dawg_critic",2018-08-09,6," the meg was meh
","16 reviews, and half are all a fake high-rated single review of this film - makes me shake my head why the producers think their viewers are dumb and wont see thru the fakes. all it takes is one click to see the only single review from the poster. don't get me started on the moronic review from halil-92019: ""playing computer games makes kids smarter?""this film had it's moments, but it was nothing spectacular. the best parts were the cinematography, visuals and directing. the story itself has been done so many times, making the shark prehistoric doesn't add anything to the imagination. the writers needed to up this a few levels and not rely on statham (who was great as always) to bring in the moviegoers into the theater. the 103 min length felt a little long, but the pacing good enough to keep you interested, although it was missing that constant extra thrill and suspense i expected. instead, i cringed at the cheesy 1 liners and poor attempt at humor - most executed at the wrong time.it's an honest deserving score of only 6/10 from me."
"3","the meg 2","thelittlesongbird",2018-08-12,4," mega mediocrity
","my main reasons for seeing 'the meg' were that there are classic shark films out there (there is an obvious example that won't be named by means of fairness in the review but has been mentioned elsewhere) and that it was part of my many quests to see as many 2018 films as possible. it did look from the cover that it would be some kind of guilty pleasure fun, which was my ideal kind of film for the day.apparently 'the meg' had a lot of studio interference, meaning that what was initially intended (and from the sounds of it what was initially intended would have made it a much better film) was not seen in the film, and it shows in the final product. wanted some guilty pleasure film, a kind of turn-the-brain-off-at-the-door sort of film. instead, 'the meg' turned out to be poorly written and mostly devoid of tension and fun, one where one is rooting for the shark than any of the human characters. is it better than any of the shark-creature films from syfy and the asylum? oh yes, so much better, now those are mostly abominations. that doesn't stop 'the meg' from being potential unfulfilled. there are positives. 'the meg' does start off reasonably well with a sense of unsettlement and the climactic scene is pretty entertaining. the best character, kid you not, is the shark which had personality and one that was not too scary or goofy. it's pretty decent visually, nicely shot in particular, the music fits well and jason statham brings charisma to his role and is believable in that aspect.on the other hand, the rest of the acting is a mess. worst of all is a dreadful bingbing li, with a character that bores and annoys and approaching the character in a way that's completely wrong and out of kilter with everything else. none of the characters are well written, too bland to be interesting and too annoying with dumb decision making to be likeable. a few of them are completely unnecessary. development is zero.special effects are uneven, some times they are pretty good and at other times they look so artificial and like they were made in haste. the action scenes with the shark are too few and they are generally devoid of tension, scares and suspense, ruined by unintentional humour, tameness, stupid goofiness and lack of sense, even when taking it for what it is meant to be. the story is as shallow and predictable as can be, with the pace dulling significantly outside of the shark action and indicative of padding out the already overlong by 15-20 minute running time. faring worst is the script, which is even more atrocious than bingbing li's acting, bad enough to warrant a paragraph of its own. far too much talk, very clumsy attempts at humour (unintentional and the cringe-worthy intentional), a good deal of waffle some of which adds nothing, a lot of ridiculousness and implausibility, excessive sentimentality, muddled and clunky scientific exposition and some of it perplexes in terms of clarity too.in summary, has good things but ruined primarily by the script. 4/10 bethany cox"
"4","the meg 2","averagejoesdriveinpodcast",2018-08-12,7," a fun theater-going experience!
","i will be upfront with anyone who hasn't watched this yet. mindset-wise if you go in thinking more along the lines of deep blue sea rather than jaws you'll probably have a good time. if you want serious, deep storylines and oscar-caliber performances you probably should avoid it because this isn't it. also on that note, why the hell would you go see this movie in the first place if you want that?this movie is just stupid fun with tons of funny moments. the comedy aspect of it actually caught me off guard. i expected a few funny moments here and there like most films of this ilk, but this is just straight up funny throughout. there are plenty of grandiose action sequences. a character you just flat out hate because he's such an atypical ass-hat and some beautiful cgi. the film itself is very well shot and i even had a hard time telling whether the fxs were practical or cgi in spots. they blended stuff together well. i thought the acting was solid for what this film is. it's about what i expected. like anything, there were a few things here and there that could have been better. but, none of those things were enough to hinder my enjoyment of it. i personally would have liked to see it be a tad bit gorier. i think that might have pushed this up a notch especially with the type of story this. on the other hand, that's more of a preference than an actual hindrance type thing. this was exactly what i wanted out of a summer blockbuster style film. it's a fun theater-going experience. it's the type of movie you want to see on the big screen with a great sound system. what i would consider a perfect popcorn flick.my rating: 7/10"
"5","the meg 2","ripleyspussy",2018-08-10,7," honest thoughts on the film by jason statham and director jon turteltaub
","although i've just watched this film, this is not a review in the traditional sense. i just wanted to make this clear, because i don't mean to mislead anybody. rather than giving you my own two cents (well, i will give you those, but later), i would like to let the people directly involved in the meg share their - refreshingly honest - thoughts on it, because they had some very interesting things to say that helped me better understand what i'd just seen. let's start with jason statham's recent interview with frosty weintraub. you'll notice jason tries to be diplomatic, but he has a very hard time concealing the fact that he's not too happy with the finished product:""the film changed a lot. the script was totally different. there was so many different ... sometimes you just go: how did it happen? how did it go from this to this to this to that? i guess if you have the control to keep it a certain way you would, but you don't. they have so many people deciding on what action stays and what scenes stay. how the characters ... in the end they want to put something at the beginning. the whole thing at the beginning where i *spoiler* do a rescue on a sub? that was not in the script that i read. that was all brand new stuff. good or bad, i'm just letting you know. but (originally) there was other stuff at the beginning that was ... i'm, you know. i'm just saying it was radically different.""""i guess in some ways your imagination and your own perception of what it's going to be is its worst enemy. john (turteltaub)'s interpretation of this is a fun end of summer movie. it's full of humor. he's put his very light-hearted way into it(...). it's a little bit more directed to a different taste of what my own is in terms of i like more gory adult stuff. you go: where's the effing blood?! it's like, there's a shark. i'm a lot older but i can't speak for what this film could possibly speak to a younger audience. i might have made a film that not many people wanted to see. i'm not a filmmaker.""""i'm sort of an actor that's going to portray a role. i go there but i've learned not to get too attached with your own idea of what something could be. i don't know. as an audience goer you're spared all of that sort of things that can ruin a movie for you. i think as you're involved in these films you get more and more critical and going: that bit there should have spent more money on the cg. that bit there they should have made that more gory. where's the other bit that was in the original? you get very critical.""and director jon turteltaub had this to add in a recent interview with a horror-oriented film site: ""i am so disappointed the film wasn't more bloody or disgusting. my wife is glad about it, and i'm glad my kids can see the movie, but the number of really horrifying, disgusting and bloody deaths we had lined up that we didn't get to do is tragic. we shot or even did a lot of visual effects for gory scenes. there was some really good shìt that didn't survive to the final cut.""as statham and the director both alluded to in their interviews, apparently, during post-production the decision was made that the meg would have to be appropriate for teenagers, and the film was significantly re-cut. when turteltaub was asked if he would like to see his own, unrated version released, he said: ""yes. mine would have a lot gorier, but funnier, deaths for people. it's just awesome. killing people in movies is a lot of fun.""so there you have it folks, the star and the director seem none too pleased about studio mandated changes to their movie in their assessment of the theatrical cut. i've watched the film despite myself, and it's actually nowhere near as bad as i feared - it's fun in a harmless, forgettable kind of way - but what statham and turteltaub are implying is spot on: the whole film constantly teases you with unfulfilled potential. now let's hope we get the better version upon home release."
"6","the meg 2","uniqueparticle",2023-07-15,7," i'm not sure why i didn't review sooner
","i fairly enjoy this although i'd say jon turtletaub films have been better i don't get why this was basically launched into a black hole and chewed out into another dimension, i have fun. maybe meg 2 will do better at least critically. the meg is plenty entertaining at least enough for a decent rating maybe you could say jason statham has been in better but at least he's a professional swimmer that i appreciate anything done by the actor for sure! i love rainn wilson he's awesome in anything he's been in even when he's a numb skull that makes ridiculous mistakes. i do notice the dialogue is a bit of a mess that's probably part of the hate but i enjoy the meg for what it is, pretty good entertainment that you can have a nice treat with!"
"7","the meg 2","moviexclusive",2018-08-08,6," jason statham versus a 75-foot prehistoric shark - it's as simple, as cheesy, but as enjoyable as that
","the meg' is basically short for 'jason statham versus a 75-foot prehistoric shark', and if that doesn't sound like your idea of an exciting late-summer movie, then this slab of b-movie cheese is clearly not for you. oh yes, the science-fiction horror novel by steve alten on which this movie is based was precisely meant to be that sort of pulpy entertainment, and director jon turteltaub ensures that his adaptation is balanced squarely between self-awareness and self-seriousness, even though it does start off being more of the latter before tipping into more of the former.so it goes that our introduction to statham's deep-sea rescue diver jonas taylor is no laughing business: in the throes of his latest mission to save the crew of a nuclear submarine trapped at the bottom of the mariana trench, jonas is forced to sacrifice two of his own men inside the submarine after it is purportedly attacked by a giant creature which crushes its hull. jonas' account of the tragic event is disputed by another key member of his very own crew dr heller (robert taylor), and after being accused of suffering a psychological meltdown, he retreats to seclusion on a rustic island in thailand.five years later, jonas is given the opportunity to get even with the creature when he is approached by an old friend mac (cliff curtis) to lead an urgent operation to save his ex-wife lori (jessica mcnamee) and her two other crew mates stranded underwater in a deep sea submersible names origin off the chinese coast. mac and lori are part of a larger team on a modern research facility called mana one exploring if there is life beneath the depths of the ocean as we know it, and the first successful so-called 'insertion' (cue the geek joke delivered by masi oka and ólafur darri ólafsson) into the hydrothermal sphere at the bottom of the seabed brings the origin face to face with the titular super shark previously thought to be extinct.at first, jonas' history means he is greeted with scepticism by the team on board mana one, including chief oceanographer dr zhang minway (winston chao), his equally accomplished daughter suyin (li bingbing) and no less than jonas' former colleague dr heller himself. it goes without saying that jonas will quickly prove that he wasn't crazy after all, but after having also rescued suyin who had valiantly but foolhardily gone to try to rescue lori on her own, the two divorcees will begin to sketch the contours of a romance through some rare character moments, many of which also wisely draw on the precocious charms of suyin's eight-year-old daughter meiying (shuya sophia cai).it should come as no surprise that 'the meg' is built on a number of elaborate action-driven set-pieces mostly executed by mr statham, but it is also worthwhile acknowledging that turteltaub and his screenwriters (comprising of genre specialists dean georgaris and jon and erich hoeber) do give the characters just enough texture to craft some memorable scenes within these set-pieces. among the notable archetypes on display here are the self-absorbed financer morris (rainn wilson), the tough-as-nails independent female type jaxx (ruby rose), as well as the timid plus-sized african-american comic relief dj (page kennedy); and without saying who lives, who dies or how either way, these characters in their respective ways inject verve into some of the gloriously over-the-top sequences.these sequences of course dictate the course of the narrative, which sees the megalodon emerge from its hidden depths by some deus ex machina to travel hundreds of miles over open ocean to terrorise hundreds of summer-loving beachgoers at sanya bay. each one of the three distinct settings forms the backdrop of a significant encounter with the megalodon, with the latter two especially allowing statham to flex his physicality without being in any claustrophobic confine. more than simple logic, that explains why statham has to swim within 100 metres of the shark in order to fire a gps tracker at its dorsal fin, or dive below the surface to rescue suyin trapped within a shark cage, or in the film's pièce de résistance escape from a damaged submersible just in time to spear the shark in its eye.indeed, there's not a lot of common sense involved, though nothing so exaggerated as to qualify irrevocably as parody. the operative word here is fun, and on that account, 'the meg' definitely scores. statham carries each one of these outlandish scenes with a knowing wink, and his ability to deliver the intentionally corny one-liners is matchless. on his part, turteltaub gleefully seizes every opportunity to emphasise the relative size of the competition between statham and the meg, and patiently waits till the climax to unleash all restraint and let the campiness overflow - there in sanya bay, you have young males ogling at the opposite sex on separate floating platforms before being forcibly rammed together by the marauding shark, a man in an inflatable bubble float trying to roll over his fellow swimmers before his bubble is literally burst by the shark, and a plump and pampered young boy holding a paddle pop getting his just desserts after defying his mother's caution not to go into the ocean.it probably won't escape you that the movie is one of the high-profile us-china co-productions this year, and while that is reflected in the locations and choice of co-stars, the pleasures here still seem more culturally attuned to hollywood sensitivities. to its credit, 'the meg' never comes off being sillier than it intentionally puts itself out to be, and boasts more than its fair share of entertaining man-versus-enormous-shark sequences. but hey, we thoroughly enjoyed it for what it was worth, and considering that the movie has been stuck in development for over a decade, we'd add that we couldn't have seen it any other way than 'jason statham versus a 75-foot prehistoric shark'."
"8","the meg 2","mldintn",2019-04-11,7," fun flick
","you have a hot lead (statham) , a giant shark, bad acting, a villain that gets what he deserves, one liners, and a decent plot. what else do you need for a fun flick. while this was no master piece, it was still fun to watch. the shark effects were pretty good, not awful like the movies on the sci fi channel. and how can you not love a scene in which someone jumps in the water with a 100 ft shark looking to hit it with a tracker, or inject poison. the final death scene of the meg was cool too. but the smaller sharks were worse cgi effects.final verdict: if you love sharks, this is a must watch. it's fun and entertaining."
"9","the meg 2","mickyg333",2023-10-20,5," statham is gold
","7.4 stars.i rate all movies by entertainment value first and foremost. is this a cheesy film? of course. is it as good as jaws? nobody is trying to accomplish such an absurdity.this is a story about a very courageous and heroic guy played by statham who is called out on a rescue because he is the only man for the job. he also has to prove it to a bunch of scientists just once for them to realize ""oh yeah, this guy is the best"". and so he has to do some crazy rescue stunts, putting his life in danger over and over.the marine scientists have discovered a megalodon, which is basically a prehistoric shark that is 5 times the size of a great white (give or take). they have explored beyond the boundaries of where humans have ever been and these dinosaur-like sharks inhabit that depth of the trench. now they have to contend with the shark(s).'the meg' fits the bill for any creature feature film, but the bonus is jason statham. in my opinion, he alone raises the bar for this type of film at least a couple of levels beyond most of the generic movies and this is a refreshing take on the genre. a few of the characters are developed just enough to like. there is also a bit of comic relief and some shady characters too. all the ingredients are present and accounted for. this is an enjoyable ride, no concentration or deep thinking is necessary."
"10","the meg 2","austin-65005",2018-08-09,7," it's everything you would guess
","look, this movie wasn't bad... but it wasn't great either... everything that comes with a shark movie was here. a cheesy storyline that bounced around a lot, and some great action sequences wth the shark. jason statham was the same as he usually is, stone faced and serious. rainn wilson did a great job with his part. but other than that, nothing really sticks out."
